Number,Movie,IMDB-link,Bechdel-Rating,Release-Year,Directors,Writers
1721,Skinwalker Ranch  ,http://us.imdb.com/title/tt2881698/,0,2013,"['Devin McGinn', 'Steve Berg']","['Steve Berg', 'Ken Bretschneider']"
1722,The Smurfs 2  ,http://us.imdb.com/title/tt2017020/,3,2013,['Raja Gosnell'],"['J. David Stem', 'David N. Weiss']"
1723,Snowpiercer  ,http://us.imdb.com/title/tt1706620/,3,2013,['Joon-ho Bong'],"['Joon-ho Bong', 'Kelly Masterson']"
1724,Some Girl(s)  ,http://us.imdb.com/title/tt2201221/,1,2013,['Daisy von Scherler Mayer'],"['Neil LaBute', 'Neil LaBute']"
1725,"Soshite chichi ni naru (Like Father, Like Son)  ",http://us.imdb.com/title/tt2331143/,3,2013,['Hirokazu Koreeda'],['Hirokazu Koreeda']
1726,The Spectacular Now  ,http://us.imdb.com/title/tt1714206/,2,2013,['James Ponsoldt'],"['Scott Neustadter', 'Michael H. Weber']"
1727,Stalingrad  ,http://us.imdb.com/title/tt1966566/,1,2013,['Fedor Bondarchuk'],"['Sergey Snezhkin', 'Ilya Tilkin']"
1728,Star Trek Into Darkness   ,http://us.imdb.com/title/tt1408101/,1,2013,['J.J. Abrams'],"['Roberto Orci', 'Alex Kurtzman']"
1729,The Starving Games  ,http://us.imdb.com/title/tt2403029/,3,2013,"['Jason Friedberg', 'Aaron Seltzer']","['Jason Friedberg', 'Aaron Seltzer']"
1730,Steven Universe ,http://us.imdb.com/title/tt3061046/,3,None,['Rebecca Sugar'],"['Zach Callison', 'Deedee Magno', 'Michaela Dietz']"
1731,Still Life ,http://us.imdb.com/title/tt2395417/,1,2013,['Uberto Pasolini'],['Uberto Pasolini']
1732,Stoker  ,http://us.imdb.com/title/tt1682180/,3,2013,['Chan-wook Park'],['Wentworth Miller']
1733,Summer League  ,http://us.imdb.com/title/tt2585078/,3,2013,['Phillip Lybrand'],"['Kelli Horan', 'Kelli Horan']"
1734,Sunshine on Leith  ,http://us.imdb.com/title/tt2481198/,3,2013,['Dexter Fletcher'],"['Stephen Greenhorn', 'Stephen Greenhorn']"
1735,Suzanne ,http://us.imdb.com/title/tt2298416/,3,2013,['Katell Quillévéré'],"['Mariette Désert', 'Katell Quillévéré']"
1736,Svecenikova djeca ,http://us.imdb.com/title/tt2395421/,1,2013,['Vinko Bresan'],"['Mate Matisic', 'Mate Matisic']"
1737,The Tale of The Princess Kaguya  ,http://us.imdb.com/title/tt2576852/,3,2013,['Isao Takahata'],"['Isao Takahata', 'Isao Takahata']"
1738,Tangerines  ,http://us.imdb.com/title/tt2991224/,0,2013,['Zaza Urushadze'],"['Tatjana Mülbeier', 'Zaza Urushadze']"
1739,Teen Beach Movie  ,http://us.imdb.com/title/tt2325989/,3,2013,['Jeffrey Hornaday'],"['Vince Marcello', 'Mark Landry']"
1740,Texas Chainsaw 3D  ,http://us.imdb.com/title/tt1572315/,3,2013,['John Luessenhop'],"['Adam Marcus', 'Debra Sullivan']"
1741,Thanks for Sharing  ,http://us.imdb.com/title/tt1932718/,2,2012,['Stuart Blumberg'],"['Stuart Blumberg', 'Matt Winston']"
1742,This Is the End  ,http://us.imdb.com/title/tt1245492/,1,2013,"['Evan Goldberg', 'Seth Rogen']","['Seth Rogen', 'Evan Goldberg']"
1743,Thor: The Dark World  ,http://us.imdb.com/title/tt1981115/,3,2013,['Alan Taylor'],"['Christopher L. Yost', 'Christopher Markus']"
1744,Tim's Vermeer ,http://us.imdb.com/title/tt3089388/,2,2013,['Teller'],"['Penn Jillette', 'Teller']"
1745,The Time in Between  ,http://us.imdb.com/title/tt1864750/,1,None,"['Adriana Ugarte', 'Hannah New', 'Mari Carmen Sánchez', 'See full cast & crew']",None
1746,The To Do List   ,http://us.imdb.com/title/tt1758795/,3,2013,['Maggie Carey'],['Maggie Carey']
1747,Touchy Feely  ,http://us.imdb.com/title/tt2364949/,3,2013,['Lynn Shelton'],['Lynn Shelton']
1748,Tracks  ,http://us.imdb.com/title/tt2167266/,3,2013,['John Curran'],"['Marion Nelson', 'Robyn Davidson']"
1749,Trance  ,http://us.imdb.com/title/tt1924429/,0,2013,['Danny Boyle'],"['Joe Ahearne', 'John Hodge']"
1750,Trap for Cinderella  ,http://us.imdb.com/title/tt1766175/,3,2013,['Iain Softley'],"['Sébastien Japrisot', 'Iain Softley']"
1751,The Truth About Emanuel  ,http://us.imdb.com/title/tt1838520/,3,2013,['Francesca Gregorini'],"['Francesca Gregorini', 'Sarah Thorp']"
1752,Turbo  ,http://us.imdb.com/title/tt1860353/,3,2013,['David Soren'],"['Darren Lemke', 'Robert Siegel']"
1753,Uitgesproken ,http://us.imdb.com/title/tt3348476/,1,2013,"['Dylan Tonk', 'Lazlo Tonk']","['Dylan Tonk', 'Lazlo Tonk']"
1754,UMMAH - Unter Freunden  ,http://us.imdb.com/title/tt2664258/,1,2013,['Cüneyt Kaya'],['Cüneyt Kaya']
1755,Upstream Color  ,http://us.imdb.com/title/tt2084989/,0,2013,['Shane Carruth'],['Shane Carruth']
1756,V/H/S/2  ,http://us.imdb.com/title/tt2450186/,3,2013,"['Simon Barrett', 'Jason Eisener', '5 more credits']","['Simon Barrett', 'Jamie Nash']"
1757,Vai que da Certo  ,http://us.imdb.com/title/tt2220408/,1,2013,['Maurício Farias'],"['Maurício Farias', 'Alexandre Morcilo']"
1758,Very Good Girls  ,http://us.imdb.com/title/tt1931602/,3,2013,['Naomi Foner'],['Naomi Foner']
1759,Vi ar bast!  ,http://us.imdb.com/title/tt2364975/,3,2013,['Lukas Moodysson'],"['Lukas Moodysson', 'Coco Moodysson']"
1760,Vikings ,http://us.imdb.com/title/tt2306299/,3,None,['Michael Hirst'],"['Gustaf Skarsgård', 'Katheryn Winnick', 'Alexander Ludwig']"
1761,Vino Veritas ,http://us.imdb.com/title/tt1647413/,3,2013,['Sarah Knight'],['David MacGregor']
1762,Viva la liberta  ,http://us.imdb.com/title/tt2523600/,1,2013,['Roberto Andò'],"['Roberto Andò', 'Roberto Andò']"
1763,The Vivian Maier Mystery ,http://us.imdb.com/title/tt3252208/,3,2013,['Jill Nicholls'],None
1764,Vivir es facil con los ojos cerrados  ,http://us.imdb.com/title/tt2896036/,0,2013,['David Trueba'],['David Trueba']
1765,Wadjda   ,http://us.imdb.com/title/tt2258858/,3,2012,['Haifaa Al-Mansour'],['Haifaa Al-Mansour']
1766,Warm Bodies  ,http://us.imdb.com/title/tt1588173/,2,2013,['Jonathan Levine'],"['Isaac Marion', 'Jonathan Levine']"
1767,Wastelands ,http://us.imdb.com/title/tt2795478/,0,2013,['Marco van Bergen'],['Marco van Bergen']
1768,The Way Way Back  ,http://us.imdb.com/title/tt1727388/,3,2013,"['Nat Faxon', 'Jim Rash']","['Nat Faxon', 'Jim Rash']"
1769,We Are What We Are  ,http://us.imdb.com/title/tt2309021/,3,2013,['Jim Mickle'],"['Nick Damici', 'Jim Mickle']"
1770,We're the Millers  ,http://us.imdb.com/title/tt1723121/,3,2013,['Rawson Marshall Thurber'],"['Bob Fisher', 'Steve Faber']"
1771,Welcome to the Punch  ,http://us.imdb.com/title/tt1684233/,1,2013,['Eran Creevy'],['Eran Creevy']
1772,Wetlands  ,http://us.imdb.com/title/tt2524674/,3,2013,['David Wnendt'],"['Claus Falkenberg', 'David Wnendt']"
1773,What If  ,http://us.imdb.com/title/tt1486834/,3,2013,['Michael Dowse'],"['Elan Mastai', 'T.J. Dawe']"
1774,White Bear  ,http://us.imdb.com/title/tt2542420/,3,None,['Carl Tibbetts'],"['Charlie Brooker', 'Charlie Brooker']"
1775,White House Down  ,http://us.imdb.com/title/tt2334879/,2,2013,['Roland Emmerich'],['James Vanderbilt']
1776,White Lies  ,http://us.imdb.com/title/tt2386257/,3,2013,['Dana Rotberg'],"['Dana Rotberg', 'Witi Ihimaera']"
1777,The Wine of Summer  ,http://us.imdb.com/title/tt2066133/,3,2013,['Maria Matteoli'],['Maria Matteoli']
1778,Witching and Bitching  ,http://us.imdb.com/title/tt2404738/,3,2013,['Álex de la Iglesia'],"['Jorge Guerricaechevarría', 'Álex de la Iglesia']"
1779,The Wolf of Wall Street  ,http://us.imdb.com/title/tt0993846/,3,2013,['Martin Scorsese'],"['Terence Winter', 'Jordan Belfort']"
1780,The Wolverine  ,http://us.imdb.com/title/tt1430132/,3,2013,['James Mangold'],"['Mark Bomback', 'Scott Frank']"
1781,Words and Pictures  ,http://us.imdb.com/title/tt2380331/,3,2013,['Fred Schepisi'],['Gerald Di Pego']
1782,World War Z  ,http://us.imdb.com/title/tt0816711/,3,2013,['Marc Forster'],"['Matthew Michael Carnahan', 'Drew Goddard']"
1783,The World's End  ,http://us.imdb.com/title/tt1213663/,2,2013,['Edgar Wright'],"['Simon Pegg', 'Edgar Wright']"
1784,Wrong Cops ,http://us.imdb.com/title/tt2166616/,1,2013,['Quentin Dupieux'],['Quentin Dupieux']
1785,Xi you xiang mo pian (Journey to the West)  ,http://us.imdb.com/title/tt2017561/,2,2013,"['Stephen Chow', 'Chi-kin Kwok']","['Stephen Chow', 'Chi-kin Kwok']"
1786,Yip Man: Jung gik yat jin  ,http://us.imdb.com/title/tt2495118/,3,2013,['Herman Yau'],['Erica Lee']
1787,The Young and Prodigious T.S. Spivet  ,http://us.imdb.com/title/tt1981107/,3,2013,['Jean-Pierre Jeunet'],"['Jean-Pierre Jeunet', 'Guillaume Laurant']"
1788,Young Detective Dee: Rise of the Sea Dragon  ,http://us.imdb.com/title/tt2992146/,2,2013,['Hark Tsui'],"['Chia-Lu Chang', 'Kuo-Fu Chen']"
1789,The Zero Theorem  ,http://us.imdb.com/title/tt2333804/,0,2013,['Terry Gilliam'],"['Pat Rushin', 'Terry Gilliam']"
1790,Zipi y Zape y el club de la canica  ,http://us.imdb.com/title/tt2388821/,0,2013,['Oskar Santos'],"['Jorge Lara', 'Oskar Santos']"
1791,Zombie Hunter  ,http://us.imdb.com/title/tt2446502/,3,2013,['K. King'],"['K. King', 'Kurt Knight']"
1792,"Zoran, il mio nipote scemo ",http://us.imdb.com/title/tt3078718/,0,2013,['Matteo Oleotto'],"['Daniela Gambaro', 'Matteo Oleotto']"
1793,Zum Geburtstag  ,http://us.imdb.com/title/tt2865802/,2,2013,['Denis Dercourt'],['Denis Dercourt']
1794,2 Coelhos  ,http://us.imdb.com/title/tt1753722/,1,2012,['Afonso Poyart'],['Afonso Poyart']
1795,2 Days in New York  ,http://us.imdb.com/title/tt1602472/,3,2012,['Julie Delpy'],"['Julie Delpy', 'Alexia Landeau']"
1796,21 Jump Street  ,http://us.imdb.com/title/tt1232829/,2,2012,"['Phil Lord', 'Christopher Miller']","['Michael Bacall', 'Michael Bacall']"
1797,A Halloween Puppy  ,http://us.imdb.com/title/tt2404153/,2,2012,['David DeCoteau'],['Andrew Helm']
1798,A Late Quartet  ,http://us.imdb.com/title/tt1226240/,3,2012,['Yaron Zilberman'],"['Seth Grossman', 'Yaron Zilberman']"
1799,A Royal Affair  ,http://us.imdb.com/title/tt1276419/,3,2012,['Nikolaj Arcel'],"['Bodil Steensen-Leth', 'Rasmus Heisterberg']"
1800,A Thousand Words ,http://us.imdb.com/title/tt0763831/,2,2012,['Brian Robbins'],['Steve Koren']
1801,About Cherry  ,http://us.imdb.com/title/tt1945062/,3,2012,['Stephen Elliott'],"['Stephen Elliott', 'Lorelei Lee']"
1802,Abraham Lincoln: Vampire Hunter  ,http://us.imdb.com/title/tt1611224/,3,2012,['Timur Bekmambetov'],"['Seth Grahame-Smith', 'Seth Grahame-Smith']"
1803,Act of Valor  ,http://us.imdb.com/title/tt1591479/,0,2012,"['Mike McCoy', 'Scott Waugh']",['Kurt Johnstad']
1804,Ahi va el diablo  ,http://us.imdb.com/title/tt2107648/,3,2012,['Adrián García Bogliano'],['Adrián García Bogliano']
1805,Ali has blue eyes  ,http://us.imdb.com/title/tt2496366/,1,2012,['Claudio Giovannesi'],"['Francesco Apice', 'Claudio Giovannesi']"
1806,Alien Tornado  ,http://us.imdb.com/title/tt1942798/,3,2012,['Jeff Burr'],['Paul A. Birkett']
1807,All I Want Is Everything  ,http://us.imdb.com/title/tt2387222/,3,2012,['Shital Morjaria'],"['Shital Morjaria', 'Shital Morjaria']"
1808,The Amazing Spider-Man  ,http://us.imdb.com/title/tt0948470/,2,2012,['Marc Webb'],"['James Vanderbilt', 'Alvin Sargent']"
1809,American Mary  ,http://us.imdb.com/title/tt1959332/,3,2012,"['Jen Soska', 'Sylvia Soska']","['Jen Soska', 'Sylvia Soska']"
1810,American Warships  ,http://us.imdb.com/title/tt2175927/,3,2012,['Thunder Levin'],['Thunder Levin']
1811,Amour  ,http://us.imdb.com/title/tt1602620/,3,2012,['Michael Haneke'],['Michael Haneke']
1812,The Angels' Share  ,http://us.imdb.com/title/tt1924394/,1,2012,['Ken Loach'],['Paul Laverty']
1813,Anna Karenina  ,http://us.imdb.com/title/tt1781769/,2,2012,['Joe Wright'],"['Tom Stoppard', 'Leo Tolstoy']"
1814,Any Questions for Ben?  ,http://us.imdb.com/title/tt1735839/,2,2012,['Rob Sitch'],"['Santo Cilauro', 'Tom Gleisner']"
1815,Arachnoquake  ,http://us.imdb.com/title/tt2151543/,3,2012,['Griff Furst'],"['Eric Forsberg', 'Paul A. Birkett']"
1816,Arbitrage  ,http://us.imdb.com/title/tt1764183/,2,2012,['Nicholas Jarecki'],['Nicholas Jarecki']
1817,Argo  ,http://us.imdb.com/title/tt1024648/,3,2012,['Ben Affleck'],"['Chris Terrio', 'Tony Mendez']"
1818,As High as the Sky  ,http://us.imdb.com/title/tt2119383/,3,2012,['Nikki Braendlin'],['Nikki Braendlin']
1819,Asterix and Obelix: God Save Britannia  ,http://us.imdb.com/title/tt1597522/,1,2012,['Laurent Tirard'],"['René Goscinny', 'Laurent Tirard']"
1820,Attack of the 50ft Cheerleader  ,http://us.imdb.com/title/tt2098627/,3,2012,"[""Kevin O'Neill""]",['Mike MacLean']
1821,Augustine  ,http://us.imdb.com/title/tt2098628/,3,2012,['Alice Winocour'],['Alice Winocour']
1822,Aurora  ,http://us.imdb.com/title/tt2208216/,1,2012,['Kristina Buozyte'],"['Kristina Buozyte', 'Bruno Samper']"
1823,The Avengers   ,http://us.imdb.com/title/tt0848228/,1,2012,['Joss Whedon'],"['Joss Whedon', 'Zak Penn']"
1824,Bachelorette  ,http://us.imdb.com/title/tt1920849/,3,2012,['Leslye Headland'],"['Leslye Headland', 'Leslye Headland']"
1825,Bad Parents  ,http://us.imdb.com/title/tt2081178/,3,2012,['Caytha Jentis'],['Caytha Jentis']
1826,Barbara  ,http://us.imdb.com/title/tt2178941/,3,2012,['Christian Petzold'],"['Christian Petzold', 'Harun Farocki']"
1827,Barfi!  ,http://us.imdb.com/title/tt2082197/,2,2012,"['Anurag Basu', 'Sunil Subramani']","['Anurag Basu', 'Tani Basu']"
1828,"Batman: The Dark Knight Returns, part 1  ",http://us.imdb.com/title/tt2313197/,3,2012,['Jay Oliva'],"['Bob Kane', 'Frank Miller']"
1829,Battleship  ,http://us.imdb.com/title/tt1440129/,1,2012,['Peter Berg'],"['Jon Hoeber', 'Erich Hoeber']"
1830,The Bay  ,http://us.imdb.com/title/tt1713476/,1,2012,['Barry Levinson'],"['Michael Wallach', 'Barry Levinson']"
1831,BearCity 2: The Proposal  ,http://us.imdb.com/title/tt2005156/,3,2012,['Douglas Langway'],['Douglas Langway']
1832,Beasts of the Southern Wild  ,http://us.imdb.com/title/tt2125435/,3,2012,['Benh Zeitlin'],"['Lucy Alibar', 'Benh Zeitlin']"
1833,Being Flynn  ,http://us.imdb.com/title/tt0455323/,1,2012,['Paul Weitz'],"['Paul Weitz', 'Nick Flynn']"
1834,Berberian Sound Studio  ,http://us.imdb.com/title/tt1833844/,1,2012,['Peter Strickland'],['Peter Strickland']
1835,Best Man Down  ,http://us.imdb.com/title/tt1885300/,3,2012,['Ted Koland'],['Ted Koland']
1836,Beyond the Hills  ,http://us.imdb.com/title/tt2258281/,3,2012,['Cristian Mungiu'],"['Cristian Mungiu', 'Tatiana Niculescu-Bran']"
1837,Big Miracle  ,http://us.imdb.com/title/tt1430615/,3,2012,['Ken Kwapis'],"['Jack Amiel', 'Michael Begler']"
1838,Bikini Spring Break  ,http://us.imdb.com/title/tt2304517/,3,2012,['Jared Cohn'],"['Jared Cohn', 'Naomi L. Selfman']"
1839,Bindlestiffs  ,http://us.imdb.com/title/tt2091243/,3,2012,['Andrew Edison'],"['Andrew Edison', 'Andrew Edison']"
1840,Bitchkram ,http://us.imdb.com/title/tt2287655/,3,2012,['Andreas Öhman'],"['Jonathan Sjöberg', 'Andreas Öhman']"
1841,Black Rock  ,http://us.imdb.com/title/tt1930294/,3,2012,['Katie Aselton'],"['Mark Duplass', 'Katie Aselton']"
1842,Bletchley Circle  ,http://us.imdb.com/title/tt2275990/,3,None,"['Rachael Stirling', 'Julie Graham', 'Sophie Rundle', 'See full cast & crew']",None
1843,Blood Fare  ,http://us.imdb.com/title/tt1730189/,1,2012,['J.A. Steel'],"['Christian K. Koch', 'J.A. Steel']"
1844,Blue Lagoon: The Awakening  ,http://us.imdb.com/title/tt2287663/,3,2012,['Mikael Salomon'],"['Henry De Vere Stacpoole', 'Matt Heller']"
1845,Blue Like Jazz  ,http://us.imdb.com/title/tt1758575/,3,2012,['Steve Taylor'],"['Donald Miller', 'Donald Miller']"
1846,The Body  ,http://us.imdb.com/title/tt1937149/,3,2012,['Oriol Paulo'],"['Oriol Paulo', 'Lara Sendim']"
1847,The Bourne Legacy  ,http://us.imdb.com/title/tt1194173/,3,2012,['Tony Gilroy'],"['Tony Gilroy', 'Dan Gilroy']"
1848,The Brass Teapot  ,http://us.imdb.com/title/tt1935902/,3,2012,['Ramaa Mosley'],"['Tim Macy', 'Ramaa Mosley']"
1849,Brave   ,http://us.imdb.com/title/tt1217209/,3,2012,"['Mark Andrews', 'Brenda Chapman', '1 more credit']","['Brenda Chapman', 'Mark Andrews']"
1850,The Broken Circle Breakdown  ,http://us.imdb.com/title/tt2024519/,3,2012,['Felix van Groeningen'],"['Johan Heldenbergh', 'Mieke Dobbels']"
1851,Bullet to the Head  ,http://us.imdb.com/title/tt1308729/,0,2012,['Walter Hill'],"['Alessandro Camon', 'Alexis Nolent']"
1852,Byzantium  ,http://us.imdb.com/title/tt1531901/,3,2012,['Neil Jordan'],"['Moira Buffini', 'Moira Buffini']"
1853,Call Girl  ,http://us.imdb.com/title/tt1977739/,3,2012,['Mikael Marcimain'],['Marietta von Hausswolff von Baumgarten']
1854,Call Me Kuchu  ,http://us.imdb.com/title/tt2088714/,3,2012,"['Katherine Fairfax Wright', 'Malika Zouhali-Worrall']","['Katherine Fairfax Wright', 'Malika Zouhali-Worrall']"
1855,The Campaign  ,http://us.imdb.com/title/tt1790886/,1,2012,['Jay Roach'],"['Chris Henchy', 'Shawn Harwell']"
1856,Celeste and Jesse Forever  ,http://us.imdb.com/title/tt1405365/,3,2012,['Lee Toland Krieger'],"['Rashida Jones', 'Will McCormack']"
1857,Cheesecake Casserole  ,http://us.imdb.com/title/tt1733114/,3,2012,['Renji Philip'],"['Meghan Gambling', 'Renji Philip']"
1858,Chernobyl Diaries  ,http://us.imdb.com/title/tt1991245/,1,2012,['Bradley Parker'],"['Oren Peli', 'Carey Van Dyke']"
1859,Chronicle  ,http://us.imdb.com/title/tt1706593/,1,2012,['Josh Trank'],"['Max Landis', 'Max Landis']"
1860,Cigarette Ki Tarah  ,http://us.imdb.com/title/tt2346744/,3,2012,['Akashaditya Lama'],"['Pradeep Atluri', 'Bobby Khan']"
1861,Citadel ,http://us.imdb.com/title/tt1641975/,1,2012,['Ciarán Foy'],['Ciarán Foy']
1862,The Citizen  ,http://us.imdb.com/title/tt1942989/,1,2012,['Sam Kadi'],"['Jazmen Darnell Brown', 'Sam Kadi']"
1863,Cloud Atlas  ,http://us.imdb.com/title/tt1371111/,3,2012,"['Tom Tykwer', 'Lana Wachowski', '1 more credit']","['David Mitchell', 'Lana Wachowski']"
1864,Cockneys vs Zombies  ,http://us.imdb.com/title/tt1362058/,2,2012,['Matthias Hoene'],"['Matthias Hoene', 'James Moran']"
1865,Cocktail  ,http://us.imdb.com/title/tt2168910/,3,2012,['Homi Adajania'],"['Imtiaz Ali', 'Sajid Ali']"
1866,Comes a Bright Day  ,http://us.imdb.com/title/tt1900854/,0,2012,['Simon Aboud'],['Simon Aboud']
1867,The Company You Keep ,http://us.imdb.com/title/tt1381404/,1,2012,['Robert Redford'],"['Lem Dobbs', 'Neil Gordon']"
1868,Compliance  ,http://us.imdb.com/title/tt1971352/,3,2012,['Craig Zobel'],['Craig Zobel']
1869,Contraband  ,http://us.imdb.com/title/tt1524137/,3,2012,['Baltasar Kormákur'],"['Aaron Guzikowski', 'Arnaldur Indriðason']"
1870,Cosmopolis  ,http://us.imdb.com/title/tt1480656/,1,2012,['David Cronenberg'],"['David Cronenberg', 'Don DeLillo']"
1871,Croczilla  ,http://us.imdb.com/title/tt2354196/,0,2012,['Lisheng Lin'],['Lisheng Lin']
1872,Cybergeddon  ,http://us.imdb.com/title/tt2189240/,3,None,['Anthony E. Zuiker'],"['Missy Peregrym', 'Elias Edraki', 'Kick Gurry']"
1873,Dabangg 2 ,http://us.imdb.com/title/tt2112131/,1,2012,['Arbaaz Khan'],['Dilip Shukla']
1874,The Dark Knight Rises  ,http://us.imdb.com/title/tt1345836/,1,2012,['Christopher Nolan'],"['Jonathan Nolan', 'Christopher Nolan']"
1875,Dark Shadows  ,http://us.imdb.com/title/tt1077368/,3,2012,['Tim Burton'],"['Seth Grahame-Smith', 'John August']"
1876,Das Leben ist nichts fur Feiglinge  ,http://us.imdb.com/title/tt2147550/,3,2012,['André Erkau'],"['Gernot Gricksch', 'Gernot Gricksch']"
1877,Das Wochenende  ,http://us.imdb.com/title/tt1836202/,3,2012,['Nina Grosse'],"['Nina Grosse', 'Bernhard Schlink']"
1878,Dead Man's Burden  ,http://us.imdb.com/title/tt2094155/,0,2012,['Jared Moshe'],['Jared Moshe']
1879,Decay  ,http://us.imdb.com/title/tt2523692/,3,2012,"['Luke Thompson', 'Michael Mazur']","['Luke Thompson', 'Luke Thompson']"
1880,Den skaldede frisor  ,http://us.imdb.com/title/tt1854236/,3,2012,['Susanne Bier'],"['Anders Thomas Jensen', 'Susanne Bier']"
1881,Despues de Lucia  ,http://us.imdb.com/title/tt2368749/,3,2012,['Michel Franco'],['Michel Franco']
1882,The Devil Inside  ,http://us.imdb.com/title/tt1560985/,3,2012,['William Brent Bell'],"['William Brent Bell', 'Matthew Peterman']"
1883,The Devil's Carnival ,http://us.imdb.com/title/tt2204379/,1,2012,['Darren Lynn Bousman'],['Terrance Zdunich']
1884,The Dictator  ,http://us.imdb.com/title/tt1645170/,1,2012,['Larry Charles'],"['Sacha Baron Cohen', 'Alec Berg']"
1885,Die Wand  ,http://us.imdb.com/title/tt1745686/,0,2012,['Julian Pölsler'],"['Marlen Haushofer', 'Julian Pölsler']"
1886,Django Unchained  ,http://us.imdb.com/title/tt1853728/,1,2012,['Quentin Tarantino'],['Quentin Tarantino']
1887,The Door  ,http://us.imdb.com/title/tt1194577/,3,2012,['István Szabó'],"['Magda Szabó', 'István Szabó']"
1888,Dredd 3D   ,http://us.imdb.com/title/tt1343727/,3,2012,['Pete Travis'],"['John Wagner', 'Carlos Ezquerra']"
1889,Eega  ,http://us.imdb.com/title/tt2258337/,2,2012,"['S.S. Rajamouli', 'J.V.V. Sathyanarayana']","['Ashwin Gangaraju', 'S.S. Kanchi']"
1890,Electrick Children  ,http://us.imdb.com/title/tt2139843/,3,2012,['Rebecca Thomas'],['Rebecca Thomas']
1891,Elementary  ,http://us.imdb.com/title/tt2191671/,3,None,['Robert Doherty'],"['Jonny Lee Miller', 'Lucy Liu', 'Jon Michael Hill']"
1892,End of Watch  ,http://us.imdb.com/title/tt1855199/,3,2012,['David Ayer'],['David Ayer']
1893,English Vinglish  ,http://us.imdb.com/title/tt2181931/,3,2012,['Gauri Shinde'],['Gauri Shinde']
1894,Entity  ,http://us.imdb.com/title/tt1842356/,3,2012,['Steve Stone'],['Steve Stone']
1895,Entrance  ,http://us.imdb.com/title/tt1918806/,3,2012,"['Dallas Richard Hallam', 'Patrick Horvath']","['Karen Gorham', 'Karen Gorham']"
1896,Erased  ,http://us.imdb.com/title/tt1645155/,1,2012,['Philipp Stölzl'],['Arash Amel']
1897,Ernest & Celestine  ,http://us.imdb.com/title/tt1816518/,1,2012,"['Stéphane Aubier', 'Vincent Patar', '1 more credit']","['Daniel Pennac', 'Gabrielle Vincent']"
1898,Escape Fire: The Fight to Rescue American Healthcare  ,http://us.imdb.com/title/tt2093109/,3,2012,"['Susan Froemke', 'Matthew Heineman']","['Clive Alonzo', 'Don Berwick', 'Elizabeth Blackburn']"
1899,Evangelion: 3.0 You Can (Not) Redo  ,http://us.imdb.com/title/tt0860907/,3,2012,"['Mahiro Maeda', 'Masayuki', '2 more credits']",['Hideaki Anno']
1900,Excision  ,http://us.imdb.com/title/tt1984153/,3,2012,['Richard Bates Jr.'],['Richard Bates Jr.']
1901,The Expendables 2  ,http://us.imdb.com/title/tt1764651/,3,2012,['Simon West'],"['Richard Wenk', 'Sylvester Stallone']"
1902,Extracted  ,http://us.imdb.com/title/tt1757746/,1,2012,['Nir Paniry'],"['Nir Paniry', 'Gabriel Cowan']"
1903,The Factory  ,http://us.imdb.com/title/tt1132285/,3,2012,"[""Morgan O'Neill""]","[""Morgan O'Neill"", 'Paul Leyden']"
1904,Fast Girls  ,http://us.imdb.com/title/tt1700808/,3,2012,['Regan Hall'],"['Noel Clarke', 'Jay Basu']"
1905,Fat Kid Rules the World ,http://us.imdb.com/title/tt1995304/,0,2012,['Matthew Lillard'],"['Michael M.B. Galvin', 'Peter Speakman']"
1906,Fin  ,http://us.imdb.com/title/tt2046090/,3,2012,['Jorge Torregrossa'],"['Sergio G. Sánchez', 'Jorge Guerricaechevarría']"
1907,The Five-Year Engagement  ,http://us.imdb.com/title/tt1195478/,3,2012,['Nicholas Stoller'],"['Jason Segel', 'Nicholas Stoller']"
1908,Flight  ,http://us.imdb.com/title/tt1907668/,3,2012,['Robert Zemeckis'],['John Gatins']
1909,Flukt ,http://us.imdb.com/title/tt2076850/,3,2012,['Roar Uthaug'],['Thomas Moldestad']
1910,"For a Good Time, Call...  ",http://us.imdb.com/title/tt1996264/,3,2012,['Jamie Travis'],"['Katie Anne Naylon', 'Lauren Miller Rogen']"
1911,Foreign Letters  ,http://us.imdb.com/title/tt1492841/,3,2012,['Ela Thier'],['Ela Thier']
1912,Four Assassins  ,http://us.imdb.com/title/tt1478804/,1,2011,['Stanley J. Orzel'],['Stanley J. Orzel']
1913,Frances Ha  ,http://us.imdb.com/title/tt2347569/,3,2012,['Noah Baumbach'],"['Noah Baumbach', 'Greta Gerwig']"
1914,Frankenweenie  ,http://us.imdb.com/title/tt1142977/,0,2012,['Tim Burton'],"['Leonard Ripps', 'Tim Burton']"
1915,Future Weather  ,http://us.imdb.com/title/tt1701215/,3,2012,['Jenny Deller'],['Jenny Deller']
1916,Gambit  ,http://us.imdb.com/title/tt0404978/,1,2012,['Michael Hoffman'],"['Joel Coen', 'Ethan Coen']"
1917,Game Change  ,http://us.imdb.com/title/tt1848902/,3,2012,['Jay Roach'],"['Danny Strong', 'Mark Halperin']"
1918,Gayby  ,http://us.imdb.com/title/tt2106739/,3,2012,['Jonathan Lisecki'],['Jonathan Lisecki']
1919,The Giant Mechanical Man  ,http://us.imdb.com/title/tt1769363/,3,2012,['Lee Kirk'],['Lee Kirk']
1920,Ginger and Rosa  ,http://us.imdb.com/title/tt2115295/,3,2012,['Sally Potter'],['Sally Potter']
