Number,Movie,IMDB-link,Bechdel-Rating,Release-Year,Directors,Writers
4771,Original Sin ,http://us.imdb.com/title/tt0218922/,1,2001,['Michael Cristofer'],"['Cornell Woolrich', 'Michael Cristofer']"
4772,Osmosis Jones  ,http://us.imdb.com/title/tt0181739/,3,2001,"['Bobby Farrelly', 'Peter Farrelly']",['Marc Hyman']
4773,The Others  ,http://us.imdb.com/title/tt0230600/,3,2001,['Alejandro Amenábar'],['Alejandro Amenábar']
4774,Pearl Harbor  ,http://us.imdb.com/title/tt0213149/,2,2001,['Michael Bay'],['Randall Wallace']
4775,The Piano Teacher ,http://us.imdb.com/title/tt0254686/,3,2001,['Michael Haneke'],"['Michael Haneke', 'Elfriede Jelinek']"
4776,Planet of the Apes  ,http://us.imdb.com/title/tt0133152/,3,2001,['Tim Burton'],"['Pierre Boulle', 'William Broyles Jr.']"
4777,The Princess Diaries  ,http://us.imdb.com/title/tt0247638/,3,2001,['Garry Marshall'],"['Meg Cabot', 'Gina Wendkos']"
4778,Rat Race  ,http://us.imdb.com/title/tt0250687/,3,2001,['Jerry Zucker'],['Andy Breckman']
4779,Read My Lips ,http://us.imdb.com/title/tt0274117/,3,2001,['Jacques Audiard'],"['Jacques Audiard', 'Tonino Benacquista']"
4780,Recess: School's Out  ,http://us.imdb.com/title/tt0265632/,3,2001,['Chuck Sheetz'],"['Paul Germain', 'Joe Ansolabehere']"
4781,Riding in Cars with Boys  ,http://us.imdb.com/title/tt0200027/,3,2001,['Penny Marshall'],"[""Beverly D'Onofrio"", 'Morgan Ward']"
4782,The Royal Tenenbaums  ,http://us.imdb.com/title/tt0265666/,3,2001,['Wes Anderson'],"['Wes Anderson', 'Owen Wilson']"
4783,Rush Hour 2  ,http://us.imdb.com/title/tt0266915/,0,2001,['Brett Ratner'],"['Ross LaManna', 'Jeff Nathanson']"
4784,Samsara ,http://us.imdb.com/title/tt0196069/,0,2001,['Pan Nalin'],"['Pan Nalin', 'Pan Nalin']"
4785,Save the Last Dance  ,http://us.imdb.com/title/tt0206275/,3,2001,['Thomas Carter'],"['Duane Adler', 'Duane Adler']"
4786,Scary Movie 2  ,http://us.imdb.com/title/tt0257106/,3,2001,['Keenen Ivory Wayans'],"['Shawn Wayans', 'Marlon Wayans']"
4787,The Score  ,http://us.imdb.com/title/tt0227445/,0,2001,['Frank Oz'],"['Daniel E. Taylor', 'Kario Salem']"
4788,Serendipity  ,http://us.imdb.com/title/tt0240890/,3,2001,['Peter Chelsom'],['Marc Klein']
4789,Shallow Hal  ,http://us.imdb.com/title/tt0256380/,3,2001,"['Bobby Farrelly', 'Peter Farrelly']","['Sean Moynihan', 'Peter Farrelly']"
4790,Shaolin Soccer  ,http://us.imdb.com/title/tt0286112/,0,2001,['Stephen Chow'],"['Stephen Chow', 'Kan-Cheung Tsang']"
4791,Shrek  ,http://us.imdb.com/title/tt0126029/,1,2001,"['Andrew Adamson', 'Vicky Jenson']","['William Steig', 'Ted Elliott']"
4792,Sister Mary Explains it All  ,http://us.imdb.com/title/tt0250739/,3,2001,['Marshall Brickman'],"['Christopher Durang', 'Christopher Durang']"
4793,Slashers ,http://us.imdb.com/title/tt0286975/,3,2001,['Maurice Devereaux'],['Maurice Devereaux']
4794,Someone Like You...  ,http://us.imdb.com/title/tt0244970/,3,2001,['Tony Goldwyn'],"['Laura Zigman', 'Elizabeth Chandler']"
4795,Spirited Away  ,http://us.imdb.com/title/tt0245429/,3,2001,"['Hayao Miyazaki', 'Kirk Wise']",['Hayao Miyazaki']
4796,Spy Kids ,http://us.imdb.com/title/tt0227538/,3,2001,['Robert Rodriguez'],['Robert Rodriguez']
4797,Stranded  ,http://us.imdb.com/title/tt0283015/,3,2001,['María Lidón'],['Juan Miguel Aguilera']
4798,Sugar & Spice ,http://us.imdb.com/title/tt0186589/,3,2001,['Francine McDougall'],['Mandy Nelson']
4799,Suicide Club  ,http://us.imdb.com/title/tt0312843/,3,2001,['Sion Sono'],['Sion Sono']
4800,Super Troopers  ,http://us.imdb.com/title/tt0247745/,1,2001,['Jay Chandrasekhar'],"['Jay Chandrasekhar', 'Kevin Heffernan']"
4801,Sweet November ,http://us.imdb.com/title/tt0230838/,1,2001,"[""Pat O'Connor""]","['Herman Raucher', 'Paul Yurick']"
4802,Swordfish  ,http://us.imdb.com/title/tt0244244/,1,2001,['Dominic Sena'],['Skip Woods']
4803,Tanguy ,http://us.imdb.com/title/tt0274155/,1,2001,['Étienne Chatiliez'],"['Laurent Chouchan', 'Étienne Chatiliez']"
4804,Thir13en Ghosts  ,http://us.imdb.com/title/tt0245674/,1,2001,['Steve Beck'],"['Robb White', 'Neal Marshall Stevens']"
4805,Tomie: Re-birth  ,http://us.imdb.com/title/tt0348225/,3,2001,['Takashi Shimizu'],"['Yoshinobu Fujioka', 'Junji Ito']"
4806,Training Day  ,http://us.imdb.com/title/tt0139654/,1,2001,['Antoine Fuqua'],['David Ayer']
4807,Tremors 3: Back to Perfection  ,http://us.imdb.com/title/tt0259685/,3,2001,['Brent Maddock'],"['S.S. Wilson', 'Brent Maddock']"
4808,Valentine  ,http://us.imdb.com/title/tt0242998/,2,2001,['Jamie Blanks'],"['Tom Savage', 'Donna Powers']"
4809,Vanilla Sky  ,http://us.imdb.com/title/tt0259711/,1,2001,['Cameron Crowe'],"['Alejandro Amenábar', 'Mateo Gil']"
4810,Volcano High  ,http://us.imdb.com/title/tt0301429/,3,2001,['Tae-gyun Kim'],"['Gyun Heo', 'An-Cheol Jeong']"
4811,Waiting For Godot  ,http://us.imdb.com/title/tt0276613/,0,2001,['Michael Lindsay-Hogg'],['Samuel Beckett']
4812,Waking Life ,http://us.imdb.com/title/tt0243017/,3,2001,['Richard Linklater'],['Richard Linklater']
4813,War Bride  ,http://us.imdb.com/title/tt0244297/,3,2001,['Lyndon Chubbuck'],['Angela Workman']
4814,The Wedding Planner  ,http://us.imdb.com/title/tt0209475/,3,2001,['Adam Shankman'],"['Pamela Falk', 'Michael Ellis']"
4815,Wet Hot American Summer  ,http://us.imdb.com/title/tt0243655/,3,2001,['David Wain'],"['Michael Showalter', 'David Wain']"
4816,What Makes a Family ,http://us.imdb.com/title/tt0251474/,3,2001,['Maggie Greenwald'],['Robert L. Freedman']
