movie_title,movie_imdb_url,bechdel_rating
Teen Titans Go! To the Movies  ,http://us.imdb.com/title/tt7424200/,3
The Titan  ,http://us.imdb.com/title/tt4986098/,2
To All the Boys I've Loved Before  ,http://us.imdb.com/title/tt3846674/,3
Tomb Raider  ,http://us.imdb.com/title/tt1365519/,3
Truth or Dare  ,http://us.imdb.com/title/tt6772950/,3
Tully  ,http://us.imdb.com/title/tt5610554/,3
Venom  ,http://us.imdb.com/title/tt1270797/,1
Vice  ,http://us.imdb.com/title/tt6266538/,2
Vox Lux  ,http://us.imdb.com/title/tt5960374/,3
When We First Met  ,http://us.imdb.com/title/tt5783956/,2
Widows  ,http://us.imdb.com/title/tt4218572/,3
The Wild Pear Tree  ,http://us.imdb.com/title/tt6628102/,2
Wildling  ,http://us.imdb.com/title/tt5085924/,3
Woman at War  ,http://us.imdb.com/title/tt7279188/,3
Z-O-M-B-I-E-S  ,http://us.imdb.com/title/tt6878820/,3
1922,http://us.imdb.com/title/tt6214928/,1
47 Meters Down  ,http://us.imdb.com/title/tt2932536/,3
6 days  ,http://us.imdb.com/title/tt4703048/,0
A Bad Moms Christmas  ,http://us.imdb.com/title/tt6359956/,3
A Christmas Prince  ,http://us.imdb.com/title/tt7608418/,3
A Dog's Purpose  ,http://us.imdb.com/title/tt1753383/,1
A Ghost Story  ,http://us.imdb.com/title/tt6265828/,1
A man of integrity  ,http://us.imdb.com/title/tt6776462/,3
A Man Wanted (Hatooly Ragel) ,http://us.imdb.com/title/tt6539420/,2
Alexander IRL  ,http://us.imdb.com/title/tt5540622/,2
Alien: Covenant  ,http://us.imdb.com/title/tt2316204/,3
All Eyez On Me  ,http://us.imdb.com/title/tt1666185/,1
All the Money in the World  ,http://us.imdb.com/title/tt5294550/,2
American Assassin  ,http://us.imdb.com/title/tt1961175/,3
American Made  ,http://us.imdb.com/title/tt3532216/,1
Amityville: The Awakening  ,http://us.imdb.com/title/tt1935897/,3
Annabelle: Creation  ,http://us.imdb.com/title/tt5140878/,3
Apostasy  ,http://us.imdb.com/title/tt4729896/,3
Atomic Blonde  ,http://us.imdb.com/title/tt2406566/,3
Ava  ,http://us.imdb.com/title/tt6194530/,3
Baby Driver  ,http://us.imdb.com/title/tt3890160/,1
The Babysitter  ,http://us.imdb.com/title/tt4225622/,3
Band Aid ,http://us.imdb.com/title/tt5816374/,3
Batman vs. Two-Face  ,http://us.imdb.com/title/tt6142314/,3
Battle of the Sexes  ,http://us.imdb.com/title/tt4622512/,3
Baywatch  ,http://us.imdb.com/title/tt1469304/,1
Beach Rats ,http://us.imdb.com/title/tt6303866/,3
Beatriz at Dinner  ,http://us.imdb.com/title/tt5929750/,3
Beauty and the Beast  ,http://us.imdb.com/title/tt2771200/,3
Before I Fall  ,http://us.imdb.com/title/tt1691916/,3
The Beguiled  ,http://us.imdb.com/title/tt5592248/,3
Berlin Syndrome  ,http://us.imdb.com/title/tt3335606/,1
The Big Sick  ,http://us.imdb.com/title/tt5462602/,3
Blade Runner 2049  ,http://us.imdb.com/title/tt1856101/,3
The Book of Birdie  ,http://us.imdb.com/title/tt5142400/,3
Borg vs McEnroe  ,http://us.imdb.com/title/tt5727282/,1
The Boss Baby  ,http://us.imdb.com/title/tt3874544/,1
The Breadwinner  ,http://us.imdb.com/title/tt3901826/,3
Bright  ,http://us.imdb.com/title/tt5519340/,3
Bushwick ,http://us.imdb.com/title/tt4720702/,3
The Bye Bye Man  ,http://us.imdb.com/title/tt4030600/,3
Call Me by Your Name  ,http://us.imdb.com/title/tt5726616/,3
Canaries  ,http://us.imdb.com/title/tt4082644/,3
Captain Underpants: The First Epic Movie  ,http://us.imdb.com/title/tt2091256/,1
Cars 3  ,http://us.imdb.com/title/tt3606752/,3
Cherry Pop  ,http://us.imdb.com/title/tt4807950/,0
The Circle  ,http://us.imdb.com/title/tt4287320/,3
Coco  ,http://us.imdb.com/title/tt2380307/,3
The Coin Heist  ,http://us.imdb.com/title/tt5740806/,3
Creep 2  ,http://us.imdb.com/title/tt3654796/,0
Daddy's Home 2 ,http://us.imdb.com/title/tt5657846/,3
Dance Academy: The Movie  ,http://us.imdb.com/title/tt5834660/,3
The Dark Tower  ,http://us.imdb.com/title/tt1648190/,1
Darkest Hour  ,http://us.imdb.com/title/tt4555426/,2
Death Note ,http://us.imdb.com/title/tt1241317/,0
The Death of Stalin  ,http://us.imdb.com/title/tt4686844/,1
Death Race 2050  ,http://us.imdb.com/title/tt5493706/,3
Deidra & Laney Rob a Train  ,http://us.imdb.com/title/tt4144332/,3
Descendants 2  ,http://us.imdb.com/title/tt5117876/,3
Despicable Me 3  ,http://us.imdb.com/title/tt3469046/,3
Detroit  ,http://us.imdb.com/title/tt5390504/,2
Diary of a Wimpy Kid: The Long Haul  ,http://us.imdb.com/title/tt6003368/,0
Dim the Fluorescents  ,http://us.imdb.com/title/tt6029106/,3
The Dinner  ,http://us.imdb.com/title/tt3203620/,3
The Disaster Artist  ,http://us.imdb.com/title/tt3521126/,3
Disco  ,http://us.imdb.com/title/tt7401540/,3
The Discovery  ,http://us.imdb.com/title/tt5155780/,3
Disobedience  ,http://us.imdb.com/title/tt6108178/,3
Djam  ,http://us.imdb.com/title/tt6814914/,3
Downsizing  ,http://us.imdb.com/title/tt1389072/,1
Dunkirk  ,http://us.imdb.com/title/tt5013056/,0
El Camino Christmas ,http://us.imdb.com/title/tt3255590/,2
Embrasse-moi! ,http://us.imdb.com/title/tt6441072/,3
The Emoji Movie  ,http://us.imdb.com/title/tt4877122/,1
The Endless  ,http://us.imdb.com/title/tt3986820/,1
The Escape  ,http://us.imdb.com/title/tt6069126/,3
"Everything, Everything  ",http://us.imdb.com/title/tt5001718/,3
The Fate of the Furious  ,http://us.imdb.com/title/tt4630562/,3
Felicite ,http://us.imdb.com/title/tt5980798/,3
Ferdinand  ,http://us.imdb.com/title/tt3411444/,3
Fifty Shades Darker  ,http://us.imdb.com/title/tt4465564/,3
First Reformed  ,http://us.imdb.com/title/tt6053438/,1
Fist Fight ,http://us.imdb.com/title/tt3401882/,3
The Florida Project  ,http://us.imdb.com/title/tt5649144/,3
Flower  ,http://us.imdb.com/title/tt2582784/,3
For Here or To Go?  ,http://us.imdb.com/title/tt4157510/,3
The Foreigner  ,http://us.imdb.com/title/tt1615160/,1
Fun Mom Dinner  ,http://us.imdb.com/title/tt5829040/,3
Gemini  ,http://us.imdb.com/title/tt5795086/,3
Geostorm  ,http://us.imdb.com/title/tt1981128/,3
Gerald's Game  ,http://us.imdb.com/title/tt3748172/,3
Get Out  ,http://us.imdb.com/title/tt5052448/,3
Ghost in the Shell  ,http://us.imdb.com/title/tt1219827/,3
Ghost Stories  ,http://us.imdb.com/title/tt5516328/,1
Gifted  ,http://us.imdb.com/title/tt4481414/,3
Girls Trip  ,http://us.imdb.com/title/tt3564472/,3
The Glass Castle  ,http://us.imdb.com/title/tt2378507/,3
God's Own Country  ,http://us.imdb.com/title/tt5635086/,0
Godard Mon Amour  ,http://us.imdb.com/title/tt5687334/,1
Going In Style  ,http://us.imdb.com/title/tt2568862/,1
Good Time  ,http://us.imdb.com/title/tt4846232/,3
The Greatest Showman  ,http://us.imdb.com/title/tt1485796/,3
