movie_name,movie_yr,movie_directors,movie_writers
Soldier's Girl,2003,['Frank Pierson'],['Ron Nyswaner']
Something's Gotta Give,2003,['Nancy Meyers'],['Nancy Meyers']
"Spring, Summer, Fall, Winter... and Spring",2003,['Ki-duk Kim'],['Ki-duk Kim']
Spy Kids 3-D: Game Over,2003,['Robert Rodriguez'],['Robert Rodriguez']
Stara basn. Kiedy slonce bylo bogiem,2003,['Jerzy Hoffman'],"['Józef Hen', 'Jerzy Hoffman']"
The Station Agent,2003,['Tom McCarthy'],['Tom McCarthy']
Stupeur et tremblements,2003,['Alain Corneau'],"['Amélie Nothomb', 'Alain Corneau']"
Sunset Story,2003,['Laura Gabbert'],"['Lucille Alpert', 'Irja Lloyd']"
Swimming Pool,2003,['François Ozon'],"['François Ozon', 'Emmanuèle Bernheim']"
Terminator 3: Rise of the Machines,2003,['Jonathan Mostow'],"['James Cameron', 'Gale Anne Hurd']"
Thirteen,2003,['Catherine Hardwicke'],"['Catherine Hardwicke', 'Nikki Reed']"
Time of the Wolf,2003,['Michael Haneke'],['Michael Haneke']
Timeline,2003,['Richard Donner'],"['Michael Crichton', 'Jeff Maguire']"
Tokyo Godfathers,2003,"['Satoshi Kon', 'Shôgo Furuya']","['Satoshi Kon', 'Satoshi Kon']"
Tough Luck,2003,['Gary Ellis'],"['Todd King', 'Bill Boatman']"
Undead,2003,"['Michael Spierig', 'Peter Spierig']","['Michael Spierig', 'Peter Spierig']"
Under the Tuscan Sun,2003,['Audrey Wells'],"['Frances Mayes', 'Audrey Wells']"
Underworld,2003,['Len Wiseman'],"['Kevin Grevioux', 'Len Wiseman']"
Uptown Girls,2003,['Boaz Yakin'],"['Julia Dahl', 'Mo Ogrodnik']"
View from the Top,2003,['Bruno Barreto'],['Eric Wald']
Hoshi no koe,2002,['Makoto Shinkai'],['Makoto Shinkai']
What a Girl Wants,2003,['Dennie Gordon'],"['William Douglas-Home', 'William Douglas-Home']"
Wrong Turn,2003,['Rob Schmidt'],['Alan B. McElroy']
X2: X-Men United,2003,['Bryan Singer'],"['Zak Penn', 'David Hayter']"
24 Hour Party People,2002,['Michael Winterbottom'],['Frank Cottrell Boyce']
25th Hour,2002,['Spike Lee'],"['David Benioff', 'David Benioff']"
28 Days Later...,2002,['Danny Boyle'],['Alex Garland']
8 femmes,2002,['François Ozon'],"['François Ozon', 'François Ozon']"
8 Mile,2002,['Curtis Hanson'],['Scott Silver']
A hídember,2002,['Géza Bereményi'],"['Géza Bereményi', 'Can Togay']"
À la folie... pas du tout,2002,['Laetitia Colombani'],"['Laetitia Colombani', 'Caroline Thivel']"
A mi madre le gustan las mujeres,2002,"['Daniela Féjerman', 'Inés París']","['Daniela Féjerman', 'Inés París']"
A Walk to Remember,2002,['Adam Shankman'],"['Nicholas Sparks', 'Karen Janszen']"
About a Boy,2002,"['Chris Weitz', 'Paul Weitz']","['Nick Hornby', 'Peter Hedges']"
About Schmidt,2002,['Alexander Payne'],"['Louis Begley', 'Alexander Payne']"
Adaptation.,2002,['Spike Jonze'],"['Susan Orlean', 'Charlie Kaufman']"
The Adventures of Pluto Nash,2002,['Ron Underwood'],['Neil Cuthbert']
All or Nothing,2002,['Mike Leigh'],['Mike Leigh']
Amandla! A Revolution in Four Part Harmony,2002,['Lee Hirsch'],['Lee Hirsch']
Amen.,2002,['Costa-Gavras'],"['Costa-Gavras', 'Jean-Claude Grumberg']"
Antwone Fisher,2002,['Denzel Washington'],['Antwone Fisher']
Armitage III: Dual Matrix,2002,['Katsuhito Akiyama'],"['Naoko Hasegawa', 'Hideki Kakinuma']"
Asterix and Obelix Meet Cleopatra,2002,['Alain Chabat'],"['René Goscinny', 'Albert Uderzo']"
Austin Powers in Goldmember,2002,['Jay Roach'],"['Mike Myers', 'Michael McCullers']"
Bang Bang You're Dead,2002,['Guy Ferland'],['William Mastrosimone']
The Banger Sisters,2002,['Bob Dolman'],['Bob Dolman']
Barbie as Rapunzel,2002,['Owen Hurley'],"['Elana Lesser', 'Cliff Ruby']"
Below,2002,['David Twohy'],"['Lucas Sussman', 'Darren Aronofsky']"
Bend It Like Beckham,2002,['Gurinder Chadha'],"['Gurinder Chadha', 'Guljit Bindra']"
Big Girls Don't Cry,2002,['Maria von Heland'],['Maria von Heland']
Blade II,2002,['Guillermo del Toro'],"['Marv Wolfman', 'Gene Colan']"
Blue Crush,2002,['John Stockwell'],"['Susan Orlean', 'Lizzy Weiss']"
The Bourne Identity,2002,['Doug Liman'],"['Tony Gilroy', 'W. Blake Herron']"
Cabin Fever,2002,['Eli Roth'],"['Eli Roth', 'Randy Pearlstein']"
Cadet Kelly,2002,['Larry Shaw'],"['Gail Parent', 'Michael Walsh']"
Carrie,2002,['David Carson'],"['Bryan Fuller', 'Stephen King']"
Catch Me If You Can,2002,['Steven Spielberg'],"['Jeff Nathanson', 'Frank Abagnale Jr.']"
Charlotte Sometimes,2002,['Eric Byler'],"['Eric Byler', 'Eric Byler']"
Chicago,2002,['Rob Marshall'],"['Bill Condon', 'Bob Fosse']"
City of God,2002,"['Fernando Meirelles', 'Kátia Lund']","['Paulo Lins', 'Bráulio Mantovani']"
Hae anseon,2002,['Ki-duk Kim'],['Ki-duk Kim']
Confessions of a Dangerous Mind,2002,['George Clooney'],"['Chuck Barris', 'Charlie Kaufman']"
Crossroads,2002,['Tamra Davis'],['Shonda Rhimes']
Cube²: Hypercube,2002,['Andrzej Sekula'],"['Sean Hood', 'Sean Hood']"
Cypher,2002,['Vincenzo Natali'],['Brian King']
The Dangerous Lives of Altar Boys,2002,['Peter Care'],"['Chris Fuhrman', 'Jeff Stockwell']"
Dark Water,2002,['Hideo Nakata'],"['Kôji Suzuki', ""Ken'ichi Suzuki""]"
Death to Smoochy,2002,['Danny DeVito'],['Adam Resnick']
Demonlover,2002,['Olivier Assayas'],['Olivier Assayas']
Devdas,2002,['Sanjay Leela Bhansali'],"['Saratchandra Chatterjee', 'Prakash Kapadia']"
Die Another Day,2002,['Lee Tamahori'],"['Ian Fleming', 'Neal Purvis']"
Dirty Pretty Things,2002,['Stephen Frears'],['Steven Knight']
Divine Secrets of the Ya-Ya Sisterhood,2002,['Callie Khouri'],"['Rebecca Wells', 'Mark Andrus']"
Dog Soldiers,2002,['Neil Marshall'],['Neil Marshall']
Dracula: Pages from a Virgin's Diary,2002,['Guy Maddin'],"['Bram Stoker', 'Mark Godden']"
Dragonfly,2002,['Tom Shadyac'],"['Brandon Camp', 'Mike Thompson']"
Drumline,2002,['Charles Stone III'],"['Shawn Schepps', 'Tina Gordon']"
El bonaerense,2002,['Pablo Trapero'],"['Nicolas Gueilburt', 'Ricardo Ragendorfer']"
Embrassez qui vous voudrez,2002,['Michel Blanc'],"['Michel Blanc', 'Joseph Connolly']"
Equilibrium,2002,['Kurt Wimmer'],['Kurt Wimmer']
Far from Heaven,2002,['Todd Haynes'],['Todd Haynes']
Femme Fatale,2002,['Brian De Palma'],['Brian De Palma']
Frida,2002,['Julie Taymor'],"['Hayden Herrera', 'Clancy Sigal']"
Friday After Next,2002,['Marcus Raboy'],"['Ice Cube', 'DJ Pooh']"
Froid comme l'été,2002,['Jacques Maillot'],"['Pierre Chosson', 'Jacques Maillot']"
Funny Ha Ha,2002,['Andrew Bujalski'],['Andrew Bujalski']
Gangs of New York,2002,['Martin Scorsese'],"['Jay Cocks', 'Jay Cocks']"
Gerry,2002,['Gus Van Sant'],"['Casey Affleck', 'Matt Damon']"
The Good Girl,2002,['Miguel Arteta'],['Mike White']
Talk to Her,2002,['Pedro Almodóvar'],['Pedro Almodóvar']
Harry Potter and the Chamber of Secrets,2002,['Chris Columbus'],"['J.K. Rowling', 'Steve Kloves']"
High Crimes,2002,['Carl Franklin'],"['Joseph Finder', 'Yuri Zeltser']"
Home Room,2002,['Paul F. Ryan'],['Paul F. Ryan']
The Hot Chick,2002,['Tom Brady'],"['Tom Brady', 'Rob Schneider']"
The Hours,2002,['Stephen Daldry'],"['Michael Cunningham', 'David Hare']"
The Hunchback of Notre Dame 2: The Secret of the Bell,2002,['Bradley Raymond'],"['Jule Selbo', 'Flip Kobler']"
I Spy,2002,['Betty Thomas'],"['Morton S. Fine', 'David Friedkin']"
I'm with Lucy,2002,['Jon Sherman'],['Eric Pomerance']
Ice Age,2002,"['Chris Wedge', 'Carlos Saldanha']","['Michael J. Wilson', 'Michael Berg']"
Igby Goes Down,2002,['Burr Steers'],['Burr Steers']
The Importance of Being Earnest,2002,['Oliver Parker'],"['Oscar Wilde', 'Oliver Parker']"
Infernal Affairs,2002,"['Andrew Lau Wai-Keung', 'Alan Mak']","['Alan Mak', 'Felix Chong']"
Insomnia,2002,['Christopher Nolan'],"['Hillary Seitz', 'Nikolaj Frobenius']"
Intimate Stories,2002,['Carlos Sorin'],['Pablo Solarz']
Irreversible,2002,['Gaspar Noé'],['Gaspar Noé']
Daria in 'Is It College Yet?',2002,['Karen Disher'],"['Glenn Eichler', 'Peggy Nicoll']"
Ju-on: The Grudge,2002,['Takashi Shimizu'],['Takashi Shimizu']
K-19: The Widowmaker,2002,['Kathryn Bigelow'],"['Louis Nowra', 'Christopher Kyle']"
Life or Something Like It,2002,['Stephen Herek'],"['John Scott Shepherd', 'John Scott Shepherd']"
Lilo & Stitch,2002,"['Dean DeBlois', 'Chris Sanders']","['Chris Sanders', 'Chris Sanders']"
Lilya 4-Ever,2002,['Lukas Moodysson'],['Lukas Moodysson']
The Lord of the Rings: The Two Towers,2002,['Peter Jackson'],"['J.R.R. Tolkien', 'Fran Walsh']"
Los lunes al sol,2002,['Fernando León de Aranoa'],"['Fernando León de Aranoa', 'Ignacio del Moral']"
Aparelho Voador a Baixa Altitude,2002,['Solveig Nordlund'],"['J.G. Ballard', 'Solveig Nordlund']"
The Magdalene Sisters,2002,['Peter Mullan'],['Peter Mullan']
Maggie and Annie,2002,['Kimberly K. Wilson'],['Kimberly K. Wilson']
Maid in Manhattan,2002,['Wayne Wang'],"['John Hughes', 'Kevin Wade']"
