movie_name,movie_yr,movie_directors,movie_writers
The Meaning of Life,1983,"['Terry Jones', 'Terry Gilliam']","['Graham Chapman', 'John Cleese']"
Merry Christmas Mr. Lawrence,1983,['Nagisa Ôshima'],"['Laurens van der Post', 'Nagisa Ôshima']"
Mickey's Christmas Carol,1983,"['Burny Mattinson', 'Richard Rich']","['Charles Dickens', 'Burny Mattinson']"
Deadly Circuit,1983,['Claude Miller'],"['Marc Behm', 'Michel Audiard']"
Octopussy,1983,['John Glen'],"['George MacDonald Fraser', 'Richard Maibaum']"
The Outsiders,1983,['Francis Ford Coppola'],"['Kathleen Rowell', 'S.E. Hinton']"
Rumble Fish,1983,['Francis Ford Coppola'],"['S.E. Hinton', 'S.E. Hinton']"
Scarface,1983,['Brian De Palma'],['Oliver Stone']
Silkwood,1983,['Mike Nichols'],"['Nora Ephron', 'Alice Arlen']"
Star Wars: Episode VI - Return of the Jedi,1983,['Richard Marquand'],"['Lawrence Kasdan', 'George Lucas']"
Strange Brew,1983,"['Rick Moranis', 'Dave Thomas']","['Rick Moranis', 'Dave Thomas']"
Superman III,1983,['Richard Lester'],"['Jerry Siegel', 'Joe Shuster']"
Terms of Endearment,1983,['James L. Brooks'],"['Larry McMurtry', 'James L. Brooks']"
Terms of Endearment,1983,['James L. Brooks'],"['Larry McMurtry', 'James L. Brooks']"
Trading Places,1983,['John Landis'],"['Timothy Harris', 'Herschel Weingrod']"
Videodrome,1983,['David Cronenberg'],['David Cronenberg']
WarGames,1983,['John Badham'],"['Lawrence Lasker', 'Walter F. Parkes']"
Yellowbeard,1983,['Mel Damski'],"['Graham Chapman', 'Peter Cook']"
Yentl,1983,['Barbra Streisand'],"['Jack Rosenthal', 'Barbra Streisand']"
48 Hrs.,1982,['Walter Hill'],"['Roger Spottiswoode', 'Walter Hill']"
An Officer and a Gentleman,1982,['Taylor Hackford'],['Douglas Day Stewart']
Annie,1982,['John Huston'],"['Carol Sobieski', 'Thomas Meehan']"
Banana Joe,1982,['Steno'],"['Mario Amendola', 'Bruno Corbucci']"
The Beast Within,1982,['Philippe Mora'],"['Tom Holland', 'Edward Levy']"
The Best Little Whorehouse in Texas,1982,['Colin Higgins'],"['Larry L. King', 'Peter Masterson']"
Blade Runner,1982,['Ridley Scott'],"['Hampton Fancher', 'David Webb Peoples']"
Cat People,1982,['Paul Schrader'],"['DeWitt Bodeen', 'Alan Ormsby']"
"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean",1982,['Robert Altman'],"['Ed Graczyk', 'Ed Graczyk']"
Conan the Barbarian,1982,['John Milius'],"['Robert E. Howard', 'John Milius']"
Countryman,1982,['Dickie Jobson'],"['Dickie Jobson', 'Dickie Jobson']"
The Dark Crystal,1982,"['Jim Henson', 'Frank Oz']","['David Odell', 'Jim Henson']"
Deathtrap,1982,['Sidney Lumet'],"['Ira Levin', 'Jay Presson Allen']"
Diner,1982,['Barry Levinson'],['Barry Levinson']
The Draughtsman's Contract,1982,['Peter Greenaway'],['Peter Greenaway']
E.T. the Extra-Terrestrial,1982,['Steven Spielberg'],['Melissa Mathison']
The Entity,1982,['Sidney J. Furie'],"['Frank De Felitta', 'Frank De Felitta']"
Evil Under the Sun,1982,['Guy Hamilton'],['Anthony Shaffer']
Fanny and Alexander,1982,['Ingmar Bergman'],['Ingmar Bergman']
